item #0: 
inserido: https://www.carrefour.com.br/app/politica-de-privacidade
posicao: 74
,item #74: 
original: http://www.previdencia.gov.br/wp-content/uploads/2017/05/Minuta-pol%C3%ADtica-de-privacidade-Dataprev2_base-3.pdf
inserido: http://www.previdencia.gov.br/wp-content/uploads/2017/05/Minuta-pol%C3%ADtica-de-privacidade-Dataprev2_base-3.pdf
posicao: 75
,item #75: 
original: http://zoom.us/privacy/
inserido: http://zoom.us/privacy/
posicao: 76
,item #76: 
original: https://www.bancointer.com.br/politica-de-privacidade/
inserido: https://www.bancointer.com.br/politica-de-privacidade/
posicao: 77
,item #77: 
original: https://kompanionapp.com/privacy-policy
inserido: https://kompanionapp.com/privacy-policy
posicao: 78
,item #78: 
original: http://www.globo.com/privacidade.html
inserido: http://www.globo.com/privacidade.html
posicao: 79
,item #79: 
original: https://img0.99taxis.mobi/static/dpubimg/93435e0533165966aca15113e9a404b2/index.html
inserido: https://www.google.com.br/
posicao: 80
,item #80: 
original: https://iti.itau/termos-de-uso/
inserido: https://iti.itau/termos-de-uso/
posicao: 81
,item #81: 
original: https://indriver.com/en/privacyPolicy/
inserido: https://indriver.com/en/privacyPolicy/
posicao: 82
,item #82: 
original: http://inshotapp.com/website/policy.html
inserido: http://inshotapp.com/website/policy.html
posicao: 83
,item #83: 
original: http://corp.vix.com/privacy-policy
inserido: http://corp.vix.com/privacy-policy
posicao: 84
,item #84: 
original: https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496
inserido: https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496
posicao: 85
,item #85: 
original: http://www.caixa.gov.br/politica-de-privacidade/Paginas/default.aspx
inserido: http://www.caixa.gov.br/politica-de-privacidade/Paginas/default.aspx
posicao: 86
,item #86: 
original: https://ze.delivery/terms?isApp=true
inserido: https://ze.delivery/terms?isApp=true
posicao: 87
,item #87: 
original: https://sites.google.com/view/ogsprivacy
inserido: https://sites.google.com/view/ogsprivacy
posicao: 88
,item #88: 
original: https://www.crunchyroll.com/privacy
inserido: https://www.crunchyroll.com/privacy
posicao: 89
,item #89: 
original: https://www.santander.com.br/br/o-santander/seguranca/politica-de-privacidade
inserido: https://www.santander.com.br/br/o-santander/seguranca/politica-de-privacidade
posicao: 90
,item #90: 
original: https://discordapp.com/privacy/
inserido: https://discordapp.com/privacy/
posicao: 91
,item #91: 
original: https://about.canva.com/privacy-policy/
inserido: https://about.canva.com/privacy-policy/
posicao: 92
,item #92: 
original: http://www.snapchat.com/privacy
inserido: http://www.snapchat.com/privacy
posicao: 93
,item #93: 
original: http://res.ufotosoft.com/aboutus/src/policy.html
inserido: http://res.ufotosoft.com/aboutus/src/policy.html
posicao: 94
,item #94: 
original: http://appanimeplus.tk/privacidade.php
inserido: http://appanimeplus.tk/privacidade.php
posicao: 95
,item #95: 
original: http://www.tse.jus.br/transparencia/politica-de-privacidade-e-termos-de-uso
inserido: http://www.tse.jus.br/transparencia/politica-de-privacidade-e-termos-de-uso
posicao: 96
,item #96: 
original: http://www.google.com/intl/en/policies/privacy/
inserido: https://www.google.com.br/
posicao: 97
,item #97: 
original: https://www.itau.com.br/_arquivosestaticos/Tablet/Mobile/termosdeuso.html
inserido: https://www.itau.com.br/_arquivosestaticos/Tablet/Mobile/termosdeuso.html
posicao: 98
,item #98: 
original: https://www.paypal.com/webapps/mpp/ua/privacy-full
inserido: https://www.paypal.com/webapps/mpp/ua/privacy-full
posicao: 99
,item #99: 
original: http://www.waze.com/legal/privacy/
inserido: http://www.waze.com/legal/privacy/
posicao: 100
,item #100: 
original: https://m.facebook.com/policy.php
inserido: https://www.google.com.br/
posicao: 101
,item #101: 
original: https://www.submarino.com.br/landingpage/politica-de-privacidade
inserido: https://www.submarino.com.br/landingpage/politica-de-privacidade
posicao: 102
,item #102: 
original: http://www.twitch.tv/user/legal?page=privacy_policy
inserido: http://www.twitch.tv/user/legal?page=privacy_policy
posicao: 103
,item #103: 
original: https://medium.com/@feedback_38262/privacy-policy-and-terms-of-use-7f2054477d84
inserido: https://medium.com/@feedback_38262/privacy-policy-and-terms-of-use-7f2054477d84
posicao: 104
,item #104: 
original: https://www.c6bank.com.br/termos-de-uso
inserido: https://www.c6bank.com.br/termos-de-uso
posicao: 105
,item #105: 
original: http://www.avast.com/privacy-policy
inserido: http://www.avast.com/privacy-policy
posicao: 106
,item #106: 
original: http://zdevs.ru/za_privacy_policy.txt
inserido: http://zdevs.ru/za_privacy_policy.txt
posicao: 107
,item #107: 
original: https://www.claro.com.br/politica-de-privacidade
inserido: https://www.claro.com.br/politica-de-privacidade
posicao: 108
,item #108: 
original: https://www.bancobmg.com.br/site/politica-de-privacidade/
inserido: https://www.bancobmg.com.br/site/politica-de-privacidade/
posicao: 109
,item #109: 
original: https://cashemall.online/legal/privacy
inserido: https://www.google.com.br/
posicao: 110
,item #110: 
original: https://fann.im/about/
inserido: https://fann.im/about/
posicao: 111
,item #111: 
original: https://docs.google.com/document/d/13NTkl6BMXPqoBqHxGVx8hsj-XnpSXx1iASCFGh_Ugw4/edit?usp=sharing
inserido: https://www.google.com.br/
posicao: 112
,item #112: 
original: mailto:suporteapp.rchlo@riachuelo.com.br
inserido: https://www.google.com.br/
posicao: 113
,item #113: 
original: https://neon.com.br/politica-de-privacidade-web-view
inserido: https://neon.com.br/politica-de-privacidade-web-view
posicao: 114
,item #114: 
original: https://sites.google.com/view/virushunter/
inserido: https://sites.google.com/view/virushunter/
posicao: 115
,item #115: 
original: https://dafitistatic-a.akamaihd.net/cms/docs/Politica-de-Privacidade-Dafiti.pdf
inserido: https://dafitistatic-a.akamaihd.net/cms/docs/Politica-de-Privacidade-Dafiti.pdf
posicao: 116
,item #116: 
original: https://www.4s.io/privacy.jsp
inserido: https://www.4s.io/privacy.jsp
posicao: 117
,item #117: 
original: http://global.bigwinepot.com/rs2c/agreement
inserido: http://global.bigwinepot.com/rs2c/agreement
posicao: 118
,item #118: 
original: https://corporate.pluto.tv/privacy-policy/
inserido: https://corporate.pluto.tv/privacy-policy/
posicao: 119
,item #119: 
original: https://recorder.vidma.com/privacy-policy.html
inserido: https://recorder.vidma.com/privacy-policy.html
posicao: 120
,item #120: 
original: http://www.qq.com/privacy.htm
inserido: http://www.qq.com/privacy.htm
posicao: 121
,item #121: 
original: https://sites.google.com/view/tunerradioplusand/privacypolicy?authuser=1
inserido: https://sites.google.com/view/tunerradioplusand/privacypolicy?authuser=1
posicao: 122
,item #122: 
original: http://www.caixa.gov.br/politica-de-privacidade/Paginas/default.aspx
inserido: http://www.caixa.gov.br/politica-de-privacidade/Paginas/default.aspx
posicao: 123
,item #123: 
original: https://aka.ms/privacy
inserido: https://aka.ms/privacy
posicao: 124
,item #124: 
original: https://account.samsung.com/membership/terms
inserido: https://account.samsung.com/membership/terms
posicao: 125
,item #125: 
original: http://www.marisa.com.br/cartao-de-credito/cartao-marisa/aplicativo
inserido: http://www.marisa.com.br/cartao-de-credito/cartao-marisa/aplicativo
posicao: 126
,item #126: 
original: https://easybrain.com/privacy
inserido: https://easybrain.com/privacy
posicao: 127
,item #127: 
original: https://sites.google.com/view/onefamliy2
inserido: https://sites.google.com/view/onefamliy2
posicao: 128
,item #128: 
original: mailto:gb.wamods@gmail.com
inserido: https://www.google.com.br/
posicao: 129
,item #129: 
original: https://www.itau.com.br/_arquivosestaticos/Tablet/Mobile/termosdeuso.html
inserido: https://www.itau.com.br/_arquivosestaticos/Tablet/Mobile/termosdeuso.html
posicao: 130
,item #130: 
original: https://www.santander.com.br/br/o-santander/seguranca/politica-de-privacidade
inserido: https://www.santander.com.br/br/o-santander/seguranca/politica-de-privacidade
posicao: 131
,item #131: 
original: http://www.tim.com.br/sp/sobre-a-tim/institucional/seguranca/politica-app-meutim
inserido: http://www.tim.com.br/sp/sobre-a-tim/institucional/seguranca/politica-app-meutim
posicao: 132
,item #132: 
original: http://www.meliuz.com.br/termos-e-condicoes
inserido: http://www.meliuz.com.br/termos-e-condicoes
posicao: 133
,item #133: 
original: http://www.zoom.com.br/corp/privacy.jsp
inserido: http://www.zoom.com.br/corp/privacy.jsp
posicao: 134
,item #134: 
original: https://www.uber.com/privacy
inserido: https://www.uber.com/privacy
posicao: 135
,item #135: 
original: http://www.gotinder.com/privacy/
inserido: http://www.gotinder.com/privacy/
posicao: 136
,item #136: 
original: http://lyrebirdstudio.net/privacy.txt
inserido: http://lyrebirdstudio.net/privacy.txt
posicao: 137
,item #137: 
original: https://www.ihago.net/a/license/register-policy-android.html
inserido: https://www.ihago.net/a/license/register-policy-android.html
posicao: 138
,item #138: 
original: http://www.jrtstudio.com/privacy
inserido: http://www.jrtstudio.com/privacy
posicao: 139
,item #139: 
original: https://m.pontofrio.com.br/atendimento/politica-privacidade
inserido: https://m.pontofrio.com.br/atendimento/politica-privacidade
posicao: 140
,item #140: 
original: https://www.bistriy-zaim.club/megaphonecleaner/privacy_policy.html
inserido: https://www.bistriy-zaim.club/megaphonecleaner/privacy_policy.html
posicao: 141
,item #141: 
original: https://docs.google.com/document/d/183P0dlSy784628ysnOG74gJd3BpWiZBRfhVJan3cn3U/edit?usp=sharing
inserido: https://www.google.com.br/
posicao: 142
,item #142: 
original: http://res.wiseoel.com/aboutus/src/policy.snap.html
inserido: http://res.wiseoel.com/aboutus/src/policy.snap.html
posicao: 143
,item #143: 
original: https://www.palcomp3.com/aviso_legal.htm
inserido: https://www.palcomp3.com/aviso_legal.htm
posicao: 144
,item #144: 
original: http://www.psafe.com/privacy-policy/
inserido: http://www.psafe.com/privacy-policy/
posicao: 145
,item #145: 
original: https://app.alphainventor.com/privacy-policy-filemanager.htm
inserido: https://app.alphainventor.com/privacy-policy-filemanager.htm
posicao: 146
,item #146: 
original: https://lomotif.com/privacy
inserido: https://lomotif.com/privacy
posicao: 147
,item #147: 
original: https://media.grid.plus/doc/grid_plus_privacy_policy
inserido: https://media.grid.plus/doc/grid_plus_privacy_policy
posicao: 148
,item #148: 
original: https://privacypolicyappspage.blogspot.com/p/privacy-policy_15.html
inserido: https://privacypolicyappspage.blogspot.com/p/privacy-policy_15.html
posicao: 149
,item #149: 
original: http://rule.alibaba.com/rule/detail/2034.htm
inserido: http://rule.alibaba.com/rule/detail/2034.htm
posicao: 150
,item #150: 
original: https://www.codematics.co/privacy-policy/
inserido: https://www.codematics.co/privacy-policy/
posicao: 151
,item #151: 
original: https://www.atplayer.com/privacy-policy.html
inserido: https://www.atplayer.com/privacy-policy.html
posicao: 152
,item #152: 
original: https://www.telecineplay.com.br/privacidade
inserido: https://www.telecineplay.com.br/privacidade
posicao: 153
,item #153: 
original: https://fann.im/about/
inserido: https://fann.im/about/
posicao: 154
,item #154: 
original: https://thefilmes.tv/dmca/
inserido: https://thefilmes.tv/dmca/
posicao: 155
,item #155: 
original: https://do-cleaner.com/do_cleaner/privacy_policy.html
inserido: https://do-cleaner.com/do_cleaner/privacy_policy.html
posicao: 156
,item #156: 
original: https://appgovbr.estaleiro.serpro.gov.br/api/legal
inserido: https://www.google.com.br/
posicao: 157
,item #157: 
original: https://99app.com/legal/termos/motoristas/
inserido: https://99app.com/legal/termos/motoristas/
posicao: 158
,item #158: 
original: https://site.playhdlugo.online/PlayCine_Politica_Privacidade.html
inserido: https://site.playhdlugo.online/PlayCine_Politica_Privacidade.html
posicao: 159
,item #159: 
original: https://support.mobizen.com/hc/articles/115013869767
inserido: https://support.mobizen.com/hc/articles/115013869767
posicao: 160
,item #160: 
original: https://www.amazon.com.br/gp/help/customer/display.html?ie=UTF8&nodeId=201283950
inserido: https://www.amazon.com.br/gp/help/customer/display.html?ie=UTF8&nodeId=201283950
posicao: 161
,item #161: 
original: https://www.duolingo.com/privacy
inserido: https://www.duolingo.com/privacy
posicao: 162
,item #162: 
original: http://www.kinemaster.com/privacy/en/
inserido: http://www.kinemaster.com/privacy/en/
posicao: 163
,item #163: 
original: https://www.deezer.com/legal/personal-datas
inserido: https://www.deezer.com/legal/personal-datas
posicao: 164
,item #164: 
original: http://www.idailybread.org/bvprivacy.html
inserido: http://www.idailybread.org/bvprivacy.html
posicao: 165
,item #165: 
original: http://www.google.com/policies/privacy
inserido: http://www.google.com/policies/privacy
posicao: 166
,item #166: 
original: mailto:business.vision@protonmail.ch
inserido: https://www.google.com.br/
posicao: 167
,item #167: 
original: https://api-discover-mcd.gigigoapps.com/app/terms?country=MX&language=en
inserido: https://api-discover-mcd.gigigoapps.com/app/terms?country=MX&language=en
posicao: 168
,item #168: 
original: http://www.adobe.com/privacy/policy.html
inserido: http://www.adobe.com/privacy/policy.html
posicao: 169
,item #169: 
original: https://www.meualelo.com.br/policy
inserido: https://www.meualelo.com.br/policy
posicao: 170
,item #170: 
original: https://legales.discoverykidsplus.com/politicadeprivacidad
inserido: https://www.google.com.br/
posicao: 171
,item #171: 
original: https://www.google.com/intl/en_US/chrome/browser/privacy/
inserido: https://www.google.com/intl/en_US/chrome/browser/privacy/
posicao: 172
,item #172: 
original: http://badoo.com/privacy/
inserido: http://badoo.com/privacy/
posicao: 173
,item #173: 
original: mailto:contato@pontocomdesenvolvimento.net
inserido: https://www.google.com.br/
posicao: 174
,item #174: 
original: https://cliente.havan.com.br/Portal/Atendimento/Sac
inserido: https://cliente.havan.com.br/Portal/Atendimento/Sac
posicao: 175
,item #175: 
original: https://iqoption.com/terms-and-conditions/terms-conditions
inserido: https://iqoption.com/terms-and-conditions/terms-conditions
posicao: 176
,item #176: 
original: http://www.facetuneapp.com/files/facetune-privacy.pdf
inserido: http://www.facetuneapp.com/files/facetune-privacy.pdf
posicao: 177
,item #177: 
original: https://suamusica.com.br/politica/privacidade
inserido: https://suamusica.com.br/politica/privacidade
posicao: 178
,item #178: 
original: mailto:ureytapykitus@gmail.com
inserido: https://www.google.com.br/
posicao: 179
,item #179: 
original: http://www.shapekeeper.net/privacy_policy.html
inserido: http://www.shapekeeper.net/privacy_policy.html
posicao: 180
,item #180: 
original: http://www.zattini.com.br/institucional/politica-de-privacidade.jsp
inserido: http://www.zattini.com.br/institucional/politica-de-privacidade.jsp
posicao: 181
,item #181: 
original: https://zepeto.me/privacy.html
inserido: https://zepeto.me/privacy.html
posicao: 182
,item #182: 
original: https://sell.aliexpress.com/ru/__pc/Zj6CxW2d6V.htm
inserido: https://sell.aliexpress.com/ru/__pc/Zj6CxW2d6V.htm
posicao: 183
,item #183: 
original: https://www.amazon.com/gp/help/customer/display.html?nodeId=201909010
inserido: https://www.amazon.com/gp/help/customer/display.html?nodeId=201909010
posicao: 184
,item #184: 
original: https://minhaoi-prx-p-static.mobicare.com.br/privacidade/MinhaOi.htm
inserido: https://minhaoi-prx-p-static.mobicare.com.br/privacidade/MinhaOi.htm
posicao: 185
,item #185: 
original: https://www.buser.com.br/sobre/termos-e-politica
inserido: https://www.buser.com.br/sobre/termos-e-politica
posicao: 186
,item #186: 
original: https://www.itau.com.br/_arquivosestaticos/Itau/PDF/Aplicativos/cartao_luiza/termo_e_politicas/termos-de-uso-e-politica-de-privacidade-luiza.pdf
inserido: https://www.itau.com.br/_arquivosestaticos/Itau/PDF/Aplicativos/cartao_luiza/termo_e_politicas/termos-de-uso-e-politica-de-privacidade-luiza.pdf
posicao: 187
,item #187: 
original: http://dubster.me/privacy-android.html
inserido: http://dubster.me/privacy-android.html
posicao: 188
,item #188: 
original: https://appmaxflix.blogspot.com/2020/03/privacy-policy.html
inserido: https://www.google.com.br/
posicao: 189
,item #189: 
original: mailto:paysanduappsxe@gmail.com
inserido: https://www.google.com.br/
posicao: 190
,item #190: 
original: https://www.centauro.com.br/sc/politica
inserido: https://www.centauro.com.br/sc/politica
posicao: 191
,item #191: 
original: https://sites.google.com/view/wpsapppolicy/main
inserido: https://sites.google.com/view/wpsapppolicy/main
posicao: 192
,item #192: 
original: https://privacy.handycloset.app/com.handycloset.android.eraser
inserido: https://privacy.handycloset.app/com.handycloset.android.eraser
posicao: 193
,item #193: 
original: https://docs.google.com/document/d/1JHw5CZ-PMflTAg1rzb-kIGYcmZC0eqdAlVIhVW9EjGk/edit?usp=sharing
inserido: https://docs.google.com/document/d/1JHw5CZ-PMflTAg1rzb-kIGYcmZC0eqdAlVIhVW9EjGk/edit?usp=sharing
posicao: 194
,item #194: 
original: http://www.burgerking.com.br/privacy
inserido: http://www.burgerking.com.br/privacy
posicao: 195
,item #195: 
original: https://www.santander.com.br/institucional-santander/seguranca/politica-de-privacidade
inserido: https://www.santander.com.br/institucional-santander/seguranca/politica-de-privacidade
posicao: 196
,item #196: 
original: https://sites.google.com/view/rarewallpapers-privacy/
inserido: https://sites.google.com/view/rarewallpapers-privacy/
posicao: 197
,item #197: 
original: http://www.adobe.com/go/privacy_policy
inserido: http://www.adobe.com/go/privacy_policy
posicao: 198
,item #198: 
original: http://freedaystudio.com/privacy-slimesimulatortime/
inserido: http://freedaystudio.com/privacy-slimesimulatortime/
posicao: 199
,item #199: 
original: https://s3-us-west-2.amazonaws.com/mobilev5dev/MusicPlayerPrivacy.txt
inserido: https://s3-us-west-2.amazonaws.com/mobilev5dev/MusicPlayerPrivacy.txt
posicao: 200
